What is the primary function of forecasting in a supply chain?,It is a method of predicting a future event or condition by analysing patterns and trends in previous and current data.
"According to the course material, what is a key reason for using forecasting in planning?",To plan for the future by reducing uncertainty.
How does forecasting help manage inventory and capacity demands?,It helps to anticipate these demands and manage lead times effectively.
What is the specific aim of business forecasting regarding customer demand?,"It aims to estimate customer demand for products or services, project sales, or estimate growth and expansion."
Supply chain forecasting is the process of predicting which three key elements for a product?,"Demand, supply, or pricing."
How does accurately predicting demand through forecasting lead to customer satisfaction?,It helps in the timely delivery of goods and services.
What is one of the essential features of a good forecast related to its timing?,It should be timely.
"For a forecast to be considered 'good', in what format should it be presented?",It should be presented in writing.
List one of the key benefits of implementing forecasting in a supply chain.,Effective handling of uncertainty.
How does forecasting contribute to better material management?,"It enables more accurate planning for material requirements, reducing shortages or excess stock."
What is the typical time period covered by long-range forecasting?,It consists of a time period from several years to decades (more than 5 years).
Name one specific business application for long-range forecasting.,Capital planning or plant location.
What type of forecasting techniques are most commonly used for long-range forecasts?,Qualitative techniques are mostly used.
What is the general time frame for medium-range forecasting?,The range is generally from one year up to a maximum of five years.
Identify one application of medium-range forecasting.,Sales planning or production planning.
What is the time horizon for short-range forecasting?,It can range from one hour to one year.
Provide an example of an application for short-range forecasting.,Purchasing or scheduling of a job.
What is the first step in the formal forecasting process?,Determination of the objectives of forecasting.
"After collecting data, what is the next crucial step in the forecasting process?",Validation of the forecasting model.
Qualitative forecasting methods are based on what kinds of inputs?,"They are based on judgements, opinions, intuition, emotions, or personal experiences."
In what situation is judgemental forecasting considered the only feasible approach?,"When there are no available data, making statistical methods inapplicable."
The _____ method is a qualitative forecasting technique that involves executives from different business streams providing their inputs in meetings.,Expert Judgment or collective opinion
For what type of products is the Expert Judgment forecasting method particularly useful?,This method is useful for innovating new products.
What is the Delphi method attempting to develop among a panel of experts?,It is an attempt to develop a forecast through group consensus.
What is the key feature of the Delphi method's process?,Its key feature is the controlled feedback process conducted through several rounds.
Why is anonymity a crucial element of the Delphi method?,Anonymity is key as it helps to mitigate the 'group-think' effect.
What is a significant disadvantage of the Delphi method related to its accuracy?,It may not be highly accurate as it involves opinion and no quantitative technique.
What is a major drawback of the Delphi method concerning resources?,It is a very costly method as it involves highly experienced people as experts.
"In the sales force composite method, whose estimates are collected to predict future sales?",The estimates of the different salesmen are collected.
What is a primary advantage of the sales force composite forecasting method?,It is based on the first-hand knowledge of salesmen who are directly connected with sales.
"According to the provided table, what is a weakness of the 'Executive opinion' forecasting method?",One person's opinion can dominate the forecast.
What is the main strength of the 'Market research' method for forecasting?,It is a good determinant of customer preferences.
The 'Delphi method' is described as being excellent for forecasting what kind of demand?,It is excellent for forecasting long-term product demand and technological trends.
Quantitative forecasting methods are objective in nature because they are based on what?,They are based on mathematical (quantitative) models.
What is the main objective of time series forecasting methods?,The objective is to discover a pattern in the historical data and then extrapolate trends into the future.
The underlying assumption in the time series forecasting method is that _____ are the best indicators of future trends.,past times
What defines the Naïve forecasting method?,"It is an estimating technique in which the last period's actuals are used as this period's forecast, without adjustment."
What is the primary utility of a simple moving average in forecasting?,It is extremely useful for forecasting long-term trends by getting an overall idea of trends in a data set.
How does a weighted moving average differ from a simple moving average?,"A weighted moving average allows different weights to be placed on each data point, whereas a simple moving average gives equal weight to all."
"As a general rule for choosing weights in a weighted moving average, which data should receive a higher weighting?",The most recent past is the most important indicator and should get a higher weighting.
What is exponential smoothing?,It is a time series forecasting method that applies decreasing weights to past observations.
For what type of data is Simple Exponential Smoothing (SES) most suitable?,It is suitable for data without a trend or seasonality.
Which type of exponential smoothing is appropriate for data that exhibits a trend but no seasonality?,Double Exponential Smoothing (DES).
The Holt-Winters Method is another name for which type of exponential smoothing?,Triple Exponential Smoothing (TES).
What does the smoothing constant ($\alpha$) determine in exponential smoothing?,It determines how much weight is given to the most recent observation when making a forecast.
What is the effect of a high alpha value (close to 1) on an exponential smoothing forecast?,It makes the forecast more responsive to recent changes in the data.
What is the effect of a low alpha value (close to 0) on an exponential smoothing forecast?,"It makes the forecast more stable and less responsive to recent changes, giving more weight to older observations."
"If the smoothing constant ($\alpha$) is 0.3, the forecast for the next period will be 30% of the current period's actual demand and _____% of the previous period's forecast.",70
What is the formula used to check the error in a forecast?,Error = Actual observed value – Forecasted value.
What is a primary weakness of the 'Market research' forecasting method?,It can be difficult to develop a good questionnaire.
